start,end,prefix_start4,prefix_end4,first_digit,operator_hint,raw
40930000,40969999,4093,4096,4,China Mobile Hong Kong Company Limited 中國移動香港有限公司,Mobile Service 流動服務 China Mobile Hong Kong Company Limited 中國移動香港有限公司
42430000,42469999,4243,4246,4,China Telecom Global Limited 中國電信國際有限公司,Mobile Service 流動服務 China Telecom Global Limited 中國電信國際有限公司
44000000,44099999,4400,4409,4,China Mobile Hong Kong Company Limited 中國移動香港有限公司,Mobile Service 流動服務 China Mobile Hong Kong Company Limited 中國移動香港有限公司
44100000,44199999,4410,4419,4,Hong Kong Telecommunications (HKT) Limited,Mobile Service 流動服務 Hong Kong Telecommunications (HKT) Limited
44200000,44299999,4420,4429,4,Hutchison Telephone Company Limited 和記電話有限公司,Mobile Service 流動服務 Hutchison Telephone Company Limited 和記電話有限公司
44300000,44399999,4430,4439,4,Hong Kong Telecommunications (HKT) Limited,Mobile Service 流動服務 Hong Kong Telecommunications (HKT) Limited
44400000,44409999,4440,4440,4,Sun Mobile Limited 新移動通訊有限公司,Mobile Service 流動服務 Sun Mobile Limited 新移動通訊有限公司
44410000,44429999,4441,4442,4,Hutchison Telephone Company Limited 和記電話有限公司,Mobile Service 流動服務 Hutchison Telephone Company Limited 和記電話有限公司
44430000,44439999,4443,4443,4,China Telecom Global Limited 中國電信國際有限公司,Mobile Service 流動服務 China Telecom Global Limited 中國電信國際有限公司
44450000,44499999,4445,4449,4,Hong Kong Telecommunications (HKT) Limited,Mobile Service 流動服務 Hong Kong Telecommunications (HKT) Limited
44500000,44599999,4450,4459,4,Hutchison Telephone Company Limited 和記電話有限公司,Mobile Service 流動服務 Hutchison Telephone Company Limited 和記電話有限公司
44600000,44699999,4460,4469,4,Hutchison Telephone Company Limited 和記電話有限公司,Mobile Service 流動服務 Hutchison Telephone Company Limited 和記電話有限公司
44700000,44799999,4470,4479,4,China Mobile Hong Kong Company Limited 中國移動香港有限公司,Mobile Service 流動服務 China Mobile Hong Kong Company Limited 中國移動香港有限公司
44800000,44899999,4480,4489,4,Hutchison Telephone Company Limited 和記電話有限公司,Mobile Service 流動服務 Hutchison Telephone Company Limited 和記電話有限公司
44900000,44999999,4490,4499,4,Hutchison Telephone Company Limited 和記電話有限公司,Mobile Service 流動服務 Hutchison Telephone Company Limited 和記電話有限公司
46000000,46069999,4600,4606,4,China Unicom (Hong Kong) Operations Limited 中國聯通(香港)運營有限公司,Mobile Service 流動服務 China Unicom (Hong Kong) Operations Limited 中國聯通(香港)運營有限公司
46070000,46079999,4607,4607,4,Multibyte Info Technology Limited 博元訊息科技有限公司,Mobile Service 流動服務 Multibyte Info Technology Limited 博元訊息科技有限公司
46080000,46089999,4608,4608,4,Sun Mobile Limited 新移動通訊有限公司,Mobile Service 流動服務 Sun Mobile Limited 新移動通訊有限公司
46090000,46099999,4609,4609,4,China Telecom Global Limited 中國電信國際有限公司,Mobile Service 流動服務 China Telecom Global Limited 中國電信國際有限公司
46100000,46109999,4610,4610,4,Sun Mobile Limited 新移動通訊有限公司,Mobile Service 流動服務 Sun Mobile Limited 新移動通訊有限公司
46110000,46129999,4611,4612,4,Sun Mobile Limited 新移動通訊有限公司,Mobile Service 流動服務 Sun Mobile Limited 新移動通訊有限公司
46130000,46139999,4613,4613,4,China Telecom Global Limited 中國電信國際有限公司,Mobile Service 流動服務 China Telecom Global Limited 中國電信國際有限公司
46140000,46149999,4614,4614,4,Sun Mobile Limited 新移動通訊有限公司,Mobile Service 流動服務 Sun Mobile Limited 新移動通訊有限公司
46150000,46169999,4615,4616,4,China Unicom (Hong Kong) Operations Limited 中國聯通(香港)運營有限公司,Mobile Service 流動服務 China Unicom (Hong Kong) Operations Limited 中國聯通(香港)運營有限公司
46170000,46179999,4617,4617,4,Multibyte Info Technology Limited 博元訊息科技有限公司,Mobile Service 流動服務 Multibyte Info Technology Limited 博元訊息科技有限公司
46180000,46189999,4618,4618,4,Multibyte Info Technology Limited 博元訊息科技有限公司,Mobile Service 流動服務 Multibyte Info Technology Limited 博元訊息科技有限公司
46190000,46199999,4619,4619,4,China Telecom Global Limited 中國電信國際有限公司,Mobile Service 流動服務 China Telecom Global Limited 中國電信國際有限公司
46200000,46249999,4620,4624,4,China Mobile Hong Kong Company Limited 中國移動香港有限公司,Mobile Service 流動服務 China Mobile Hong Kong Company Limited 中國移動香港有限公司
46250000,46299999,4625,4629,4,SmarTone Mobile Communications Limited 數碼通電訊有限公司,Mobile Service 流動服務 SmarTone Mobile Communications Limited 數碼通電訊有限公司
46300000,46399999,4630,4639,4,China Mobile Hong Kong Company Limited 中國移動香港有限公司,Mobile Service 流動服務 China Mobile Hong Kong Company Limited 中國移動香港有限公司
46400000,46409999,4640,4640,4,China Telecom Global Limited 中國電信國際有限公司,Mobile Service 流動服務 China Telecom Global Limited 中國電信國際有限公司
46410000,46459999,4641,4645,4,SmarTone Mobile Communications Limited 數碼通電訊有限公司,Mobile Service 流動服務 SmarTone Mobile Communications Limited 數碼通電訊有限公司
