Likely personal mobile segments from OFCA numbering plan
total_ranges=294

By first digit:
4xxxxxxx	57
5xxxxxxx	68
6xxxxxxx	74
8xxxxxxx	9
9xxxxxxx	86

Top operator hints:
71	Hong Kong Telecommunications (HKT) Limited
58	China Mobile Hong Kong Company Limited 中國移動香港有限公司
52	Hutchison Telephone Company Limited 和記電話有限公司
30	SmarTone Mobile Communications Limited 數碼通電訊有限公司
17	Sun Mobile Limited 新移動通訊有限公司
16	China Telecom Global Limited 中國電信國際有限公司
16	China Unicom (Hong Kong) Operations Limited 中國聯通(香港)運營有限公司
13	Multibyte Info Technology Limited 博元訊息科技有限公司
6	CITIC Telecom International Limited中信國際電訊有限公司
2	✓  China Mobile Hong Kong Company Limited 中國移動香港有限公司
2	✓  Hong Kong Telecommunications (HKT) Limited
1	South China Telecommunications (H.K.) Limited 中國南方電信(香港)有限公司
1	1GLOBAL Operations (Hong Kong) Limited
1	HuiYinBi Telecom (Hong Kong) Limited 回音壁電信(香港)有限公司
1	Government use
1	Hong Kong Broadband Network Limited 香港寬頻網絡有限公司
1	Webbing Hong Kong Limited
1	✓  SmarTone Mobile Communications Limited 數碼通電訊有限公司
1	China-Hongkong Telecom Limited 中港通電訊有限公司
1	✓  China Unicom (Hong Kong) Operations Limited 中國聯通(香港)運營有限公司

Top prefix ranges:
40930000-40969999	China Mobile Hong Kong Company Limited 中國移動香港有限公司
42430000-42469999	China Telecom Global Limited 中國電信國際有限公司
44000000-44099999	China Mobile Hong Kong Company Limited 中國移動香港有限公司
44100000-44199999	Hong Kong Telecommunications (HKT) Limited
44200000-44299999	Hutchison Telephone Company Limited 和記電話有限公司
44300000-44399999	Hong Kong Telecommunications (HKT) Limited
44400000-44409999	Sun Mobile Limited 新移動通訊有限公司
44410000-44429999	Hutchison Telephone Company Limited 和記電話有限公司
44430000-44439999	China Telecom Global Limited 中國電信國際有限公司
44450000-44499999	Hong Kong Telecommunications (HKT) Limited
44500000-44599999	Hutchison Telephone Company Limited 和記電話有限公司
44600000-44699999	Hutchison Telephone Company Limited 和記電話有限公司
44700000-44799999	China Mobile Hong Kong Company Limited 中國移動香港有限公司
44800000-44899999	Hutchison Telephone Company Limited 和記電話有限公司
44900000-44999999	Hutchison Telephone Company Limited 和記電話有限公司
46000000-46069999	China Unicom (Hong Kong) Operations Limited 中國聯通(香港)運營有限公司
46070000-46079999	Multibyte Info Technology Limited 博元訊息科技有限公司
46080000-46089999	Sun Mobile Limited 新移動通訊有限公司
46090000-46099999	China Telecom Global Limited 中國電信國際有限公司
46100000-46109999	Sun Mobile Limited 新移動通訊有限公司
46110000-46129999	Sun Mobile Limited 新移動通訊有限公司
46130000-46139999	China Telecom Global Limited 中國電信國際有限公司
46140000-46149999	Sun Mobile Limited 新移動通訊有限公司
46150000-46169999	China Unicom (Hong Kong) Operations Limited 中國聯通(香港)運營有限公司
46170000-46179999	Multibyte Info Technology Limited 博元訊息科技有限公司
46180000-46189999	Multibyte Info Technology Limited 博元訊息科技有限公司
46190000-46199999	China Telecom Global Limited 中國電信國際有限公司
46200000-46249999	China Mobile Hong Kong Company Limited 中國移動香港有限公司
46250000-46299999	SmarTone Mobile Communications Limited 數碼通電訊有限公司
46300000-46399999	China Mobile Hong Kong Company Limited 中國移動香港有限公司
46400000-46409999	China Telecom Global Limited 中國電信國際有限公司
46410000-46459999	SmarTone Mobile Communications Limited 數碼通電訊有限公司
46470000-46479999	Sun Mobile Limited 新移動通訊有限公司
46480000-46489999	Multibyte Info Technology Limited 博元訊息科技有限公司
46490000-46499999	CITIC Telecom International Limited中信國際電訊有限公司
