prefix_start4,prefix_end4,service
2939,2999,Unknown
3008,3009,Access Code
3010,3017,Access Code
3018,3018,Access Code
3019,3020,Access Code
3021,3021,Access Code
3022,3022,Access Code
3023,3023,Access Code
3024,3024,Access Code
3025,3025,Access Code
3026,3026,Access Code
3027,3027,Access Code
3028,3028,Access Code
3029,3029,Access Code
3030,3039,Access Code
3040,3049,Access Code
3050,3051,Access Code
3052,3053,Access Code
3054,3054,Access Code
3055,3055,Access Code
3056,3056,Access Code
3057,3060,Access Code
3061,3061,Access Code
3062,3062,Access Code
3063,3064,Access Code
3065,3065,Access Code
3066,3066,Access Code
3067,3067,Access Code
3068,3068,Access Code
3069,3069,Access Code
3070,3071,Access Code
3072,3072,Access Code
3073,3073,Access Code
3074,3074,Access Code
3075,3078,Access Code
3079,3079,Access Code
3080,3088,Access Code
3089,3089,Access Code
3090,3099,Access Code
3100,3109,Fixed Services
3110,3119,Fixed Services
3120,3129,Fixed Services
3130,3130,Fixed Services
3131,3131,Fixed Services
3132,3139,Fixed Services
3140,3149,Fixed Services
3150,3169,Fixed Services
3170,3179,Fixed Services
3180,3189,Fixed Services
3190,3199,Fixed Services
3400,3419,Fixed Services
3420,3429,Fixed Services
3430,3433,Fixed Services
3434,3434,Fixed Services
3435,3439,Fixed Services
3440,3449,Fixed Services
3450,3455,Fixed Services
3456,3456,Fixed Services
3457,3459,Fixed Services
3460,3464,Fixed Services
3465,3467,Fixed Services
3468,3469,Fixed Services
3470,3479,Fixed Services
3480,3489,Fixed Services
3490,3499,Fixed Services
3500,3504,Fixed Services
3505,3509,Fixed Services
3510,3519,Fixed Services
3520,3529,Fixed Services
3530,3534,Fixed Services
3535,3535,Fixed Services
3536,3539,Fixed Services
3540,3549,Fixed Services
3550,3559,Fixed Services
3560,3569,Fixed Services
3570,3589,Fixed Services
3590,3599,Fixed Services
3600,3609,Fixed Services
3610,3619,Fixed Services
3620,3629,Fixed Services
3630,3635,Fixed Services
3636,3636,Fixed Services
3637,3639,Fixed Services
3640,3649,Fixed Services
3650,3669,Fixed Services
3670,3679,Fixed Services
3680,3684,Fixed Services
3685,3689,Fixed Services
3690,3699,Fixed Services
3700,3701,Fixed Services
3702,3705,Fixed Services
3706,3709,Fixed Services
3710,3719,Fixed Services
3720,3724,Fixed Services
3725,3725,Fixed Services
3726,3726,Fixed Services
3727,3728,Fixed Services
3729,3729,Fixed Services
3730,3736,Fixed Services
3737,3737,Fixed Services
3738,3739,Fixed Services
3740,3749,Fixed Services
3750,3759,Fixed Services
3760,3769,Fixed Services
3770,3779,Fixed Services
3780,3789,Fixed Services
3790,3799,Fixed Services
