start,end,prefix_start4,prefix_end4,service,raw
29399999,29999999,2939,2999,Unknown,3
30080000,30099999,3008,3009,Access Code,Access Code 接入碼 Non-ETS 非對外電信服務 PCCW-HKT Telephone Limited and Hong Kong Telecommunications (HKT) Limited
30100000,30179999,3010,3017,Access Code,Access Code 接入碼 Non-ETS 非對外電信服務 HKBN Enterprise Solutions HK Limited 香港寬頻企業方案香港有限公司
30180000,30189999,3018,3018,Access Code,Access Code 接入碼 Non-ETS 非對外電信服務 PCCW-HKT Telephone Limited and Hong Kong Telecommunications (HKT) Limited
30190000,30209999,3019,3020,Access Code,Access Code 接入碼 Non-ETS 非對外電信服務 HKBN Enterprise Solutions HK Limited 香港寬頻企業方案香港有限公司
30210000,30219999,3021,3021,Access Code,Access Code 接入碼 Non-ETS 非對外電信服務 ** Spare - open for application 備用/供申請使用
30220000,30229999,3022,3022,Access Code,Access Code 接入碼 Non-ETS 非對外電信服務 ** Spare - open for application 備用/供申請使用
30230000,30239999,3023,3023,Access Code,Access Code 接入碼 Non-ETS 非對外電信服務 ** Spare - open for application 備用/供申請使用
30240000,30249999,3024,3024,Access Code,Access Code 接入碼 Non-ETS 非對外電信服務 Hong Kong Broadband Network Limited 香港寬頻網絡有限公司
30250000,30259999,3025,3025,Access Code,Access Code 接入碼 Non-ETS 非對外電信服務 ** Spare - open for application 備用/供申請使用
30260000,30269999,3026,3026,Access Code,Access Code 接入碼 Non-ETS 非對外電信服務 ** Spare - open for application 備用/供申請使用
30270000,30279999,3027,3027,Access Code,Access Code 接入碼 Non-ETS 非對外電信服務 HGC Global Communications Limited 環球全域電訊有限公司
30280000,30289999,3028,3028,Access Code,Access Code 接入碼 Non-ETS 非對外電信服務 ** Spare - open for application 備用/供申請使用
30290000,30299999,3029,3029,Access Code,Access Code 接入碼 Non-ETS 非對外電信服務 ** Spare - open for application 備用/供申請使用
30300000,30399999,3030,3039,Access Code,✓ Access Code 接入碼 Non-ETS 非對外電信服務 ** Reserved 預留
30400000,30499999,3040,3049,Access Code,Access Code 接入碼 Non-ETS 非對外電信服務 ** Spare - open for application 備用/供申請使用
30500000,30519999,3050,3051,Access Code,Access Code 接入碼 ETS 對外電信服務 HKBN Enterprise Solutions Limited 香港寬頻企業方案有限公司
30520000,30539999,3052,3053,Access Code,Access Code 接入碼 ETS 對外電信服務 HKBN Enterprise Solutions HK Limited 香港寬頻企業方案香港有限公司
30540000,30549999,3054,3054,Access Code,Access Code 接入碼 ETS 對外電信服務 ComNet Telecom (HK) Limited 信通電話(香港)有限公司
30550000,30559999,3055,3055,Access Code,Access Code 接入碼 ETS 對外電信服務 ** Spare - open for application 備用/供申請使用
30560000,30569999,3056,3056,Access Code,Access Code 接入碼 ETS 對外電信服務 HGC Global Communications Limited 環球全域電訊有限公司
30570000,30609999,3057,3060,Access Code,Access Code 接入碼 ETS 對外電信服務 HKBN Enterprise Solutions HK Limited 香港寬頻企業方案香港有限公司
30610000,30619999,3061,3061,Access Code,Access Code 接入碼 ETS 對外電信服務 HGC Global Communications Limited 環球全域電訊有限公司
30620000,30629999,3062,3062,Access Code,Access Code 接入碼 ETS 對外電信服務 HKBN Enterprise Solutions HK Limited 香港寬頻企業方案香港有限公司
30630000,30649999,3063,3064,Access Code,Access Code 接入碼 ETS 對外電信服務 Hong Kong Broadband Network Limited 香港寬頻網絡有限公司
30650000,30659999,3065,3065,Access Code,Access Code 接入碼 ETS 對外電信服務 HKBN Enterprise Solutions Limited 香港寬頻企業方案有限公司
30660000,30669999,3066,3066,Access Code,Access Code 接入碼 ETS 對外電信服務 PCCW-HKT Telephone Limited and Hong Kong Telecommunications (HKT) Limited
30670000,30679999,3067,3067,Access Code,Access Code 接入碼 ETS 對外電信服務 Hong Kong Broadband Network Limited 香港寬頻網絡有限公司
30680000,30689999,3068,3068,Access Code,Access Code 接入碼 ETS 對外電信服務 HKBN Enterprise Solutions HK Limited 香港寬頻企業方案香港有限公司
30690000,30699999,3069,3069,Access Code,Access Code 接入碼 ETS 對外電信服務 HKBN Enterprise Solutions Limited 香港寬頻企業方案有限公司
30700000,30719999,3070,3071,Access Code,Access Code 接入碼 ETS 對外電信服務 HKBN Enterprise Solutions HK Limited 香港寬頻企業方案香港有限公司
30720000,30729999,3072,3072,Access Code,Access Code 接入碼 ETS 對外電信服務 HKBN Enterprise Solutions Limited 香港寬頻企業方案有限公司
30730000,30739999,3073,3073,Access Code,Access Code 接入碼 ETS 對外電信服務 HKBN Enterprise Solutions HK Limited 香港寬頻企業方案香港有限公司
30740000,30749999,3074,3074,Access Code,Access Code 接入碼 ETS 對外電信服務 PCCW-HKT Telephone Limited and Hong Kong Telecommunications (HKT) Limited
30750000,30789999,3075,3078,Access Code,Access Code 接入碼 ETS 對外電信服務 HKBN Enterprise Solutions HK Limited 香港寬頻企業方案香港有限公司
30790000,30799999,3079,3079,Access Code,Access Code 接入碼 ETS 對外電信服務 PCCW-HKT Telephone Limited and Hong Kong Telecommunications (HKT) Limited
30800000,30889999,3080,3088,Access Code,Access Code 接入碼 ETS 對外電信服務 ** Spare - open for application 備用/供申請使用
30890000,30899999,3089,3089,Access Code,Access Code 接入碼 ETS 對外電信服務 HGC Global Communications Limited 環球全域電訊有限公司
30900000,30999999,3090,3099,Access Code,Access Code 接入碼 ETS 對外電信服務 ** Spare - open for application 備用/供申請使用
31000000,31099999,3100,3109,Fixed Services,Fixed Services 固網服務 Class One 第一類服務 HKBN Enterprise Solutions HK Limited 香港寬頻企業方案香港有限公司
31100000,31199999,3110,3119,Fixed Services,Fixed Services 固網服務 Class One 第一類服務 HKBN Enterprise Solutions Limited 香港寬頻企業方案有限公司
31200000,31299999,3120,3129,Fixed Services,Fixed Services 固網服務 Class One 第一類服務 PCCW-HKT Telephone Limited and Hong Kong Telecommunications (HKT) Limited
31300000,31309999,3130,3130,Fixed Services,Fixed Services 固網服務 Class One 第一類服務 ** Spare 備用
31310000,31319999,3131,3131,Fixed Services,✓ Fixed Services 固網服務 Class One 第一類服務 ** Reserved 預留
31320000,31399999,3132,3139,Fixed Services,Fixed Services 固網服務 Class One 第一類服務 ** Spare 備用
31400000,31499999,3140,3149,Fixed Services,Fixed Services 固網服務 Class One 第一類服務 PCCW-HKT Telephone Limited and Hong Kong Telecommunications (HKT) Limited
31500000,31699999,3150,3169,Fixed Services,Fixed Services 固網服務 Class One 第一類服務 HGC Global Communications Limited 環球全域電訊有限公司
31700000,31799999,3170,3179,Fixed Services,Fixed Services 固網服務 Class One 第一類服務 HKBN Enterprise Solutions Limited 香港寬頻企業方案有限公司
31800000,31899999,3180,3189,Fixed Services,Fixed Services 固網服務 Class One 第一類服務 HKBN Enterprise Solutions HK Limited 香港寬頻企業方案香港有限公司
31900000,31999999,3190,3199,Fixed Services,Fixed Services 固網服務 Class One 第一類服務 PCCW-HKT Telephone Limited and Hong Kong Telecommunications (HKT) Limited
34000000,34199999,3400,3419,Fixed Services,Fixed Services 固網服務 Class One 第一類服務 PCCW-HKT Telephone Limited and Hong Kong Telecommunications (HKT) Limited
34200000,34299999,3420,3429,Fixed Services,Fixed Services 固網服務 Class One 第一類服務 HKBN Enterprise Solutions HK Limited 香港寬頻企業方案香港有限公司
34300000,34339999,3430,3433,Fixed Services,Fixed Services 固網服務 Class One 第一類服務 ** Spare 備用
34340000,34349999,3434,3434,Fixed Services,✓ Fixed Services 固網服務 Class One 第一類服務 ** Reserved 預留
34350000,34399999,3435,3439,Fixed Services,Fixed Services 固網服務 Class One 第一類服務 ** Spare 備用
34400000,34499999,3440,3449,Fixed Services,Fixed Services 固網服務 Class One 第一類服務 PCCW-HKT Telephone Limited and Hong Kong Telecommunications (HKT) Limited
34500000,34559999,3450,3455,Fixed Services,Fixed Services 固網服務 Class One 第一類服務 ** Spare 備用
34560000,34569999,3456,3456,Fixed Services,✓ Fixed Services 固網服務 Class One 第一類服務 ** Reserved 預留
34570000,34599999,3457,3459,Fixed Services,Fixed Services 固網服務 Class One 第一類服務 ** Spare 備用
34600000,34649999,3460,3464,Fixed Services,Fixed Services 固網服務 Class One 第一類服務 Hong Kong Broadband Network Limited 香港寬頻網絡有限公司
34650000,34679999,3465,3467,Fixed Services,Fixed Services 固網服務 Class One 第一類服務 HGC Global Communications Limited 環球全域電訊有限公司
34680000,34699999,3468,3469,Fixed Services,Fixed Services 固網服務 Class One 第一類服務 HKBN Enterprise Solutions HK Limited 香港寬頻企業方案香港有限公司
34700000,34799999,3470,3479,Fixed Services,Fixed Services 固網服務 Class One 第一類服務 PCCW-HKT Telephone Limited and Hong Kong Telecommunications (HKT) Limited
34800000,34899999,3480,3489,Fixed Services,Fixed Services 固網服務 Class One 第一類服務 SmarTone Communications Limited
34900000,34999999,3490,3499,Fixed Services,Fixed Services 固網服務 Class One 第一類服務 Hong Kong Broadband Network Limited 香港寬頻網絡有限公司
35000000,35049999,3500,3504,Fixed Services,Fixed Services 固網服務 Class One 第一類服務 ComNet Telecom (HK) Limited 信通電話(香港)有限公司
35050000,35099999,3505,3509,Fixed Services,Fixed Services 固網服務 Class One 第一類服務 PCCW-HKT Telephone Limited and Hong Kong Telecommunications (HKT) Limited
35100000,35199999,3510,3519,Fixed Services,Fixed Services 固網服務 Class One 第一類服務 PCCW-HKT Telephone Limited and Hong Kong Telecommunications (HKT) Limited
35200000,35299999,3520,3529,Fixed Services,Fixed Services 固網服務 Class One 第一類服務 HGC Global Communications Limited 環球全域電訊有限公司
35300000,35349999,3530,3534,Fixed Services,Fixed Services 固網服務 Class One 第一類服務 ** Spare 備用
35350000,35359999,3535,3535,Fixed Services,✓ Fixed Services 固網服務 Class One 第一類服務 ** Reserved 預留
35360000,35399999,3536,3539,Fixed Services,Fixed Services 固網服務 Class One 第一類服務 ** Spare 備用
35400000,35499999,3540,3549,Fixed Services,Fixed Services 固網服務 Class One 第一類服務 HGC Global Communications Limited 環球全域電訊有限公司
35500000,35599999,3550,3559,Fixed Services,Fixed Services 固網服務 Class One 第一類服務 PCCW-HKT Telephone Limited and Hong Kong Telecommunications (HKT) Limited
35600000,35699999,3560,3569,Fixed Services,Fixed Services 固網服務 Class One 第一類服務 Hong Kong Broadband Network Limited 香港寬頻網絡有限公司
35700000,35899999,3570,3589,Fixed Services,Fixed Services 固網服務 Class One 第一類服務 HKBN Enterprise Solutions HK Limited 香港寬頻企業方案香港有限公司
35900000,35999999,3590,3599,Fixed Services,Fixed Services 固網服務 Class One 第一類服務 Hong Kong Broadband Network Limited 香港寬頻網絡有限公司
36000000,36099999,3600,3609,Fixed Services,Fixed Services 固網服務 Class One 第一類服務 PCCW-HKT Telephone Limited and Hong Kong Telecommunications (HKT) Limited
36100000,36199999,3610,3619,Fixed Services,Fixed Services 固網服務 Class One 第一類服務 Hong Kong Broadband Network Limited 香港寬頻網絡有限公司
36200000,36299999,3620,3629,Fixed Services,Fixed Services 固網服務 Class One 第一類服務 HKBN Enterprise Solutions HK Limited 香港寬頻企業方案香港有限公司
36300000,36359999,3630,3635,Fixed Services,Fixed Services 固網服務 Class One 第一類服務 ** Spare 備用
36360000,36369999,3636,3636,Fixed Services,✓ Fixed Services 固網服務 Class One 第一類服務 ** Reserved 預留
36370000,36399999,3637,3639,Fixed Services,Fixed Services 固網服務 Class One 第一類服務 ** Spare 備用
36400000,36499999,3640,3649,Fixed Services,Fixed Services 固網服務 Class One 第一類服務 HKBN Enterprise Solutions HK Limited 香港寬頻企業方案香港有限公司
36500000,36699999,3650,3669,Fixed Services,Fixed Services 固網服務 Class One 第一類服務 PCCW-HKT Telephone Limited and Hong Kong Telecommunications (HKT) Limited
36700000,36799999,3670,3679,Fixed Services,Fixed Services 固網服務 Class One 第一類服務 HKBN Enterprise Solutions HK Limited 香港寬頻企業方案香港有限公司
36800000,36849999,3680,3684,Fixed Services,Fixed Services 固網服務 Class One 第一類服務 HKC Network Limited 中港網絡有限公司
36850000,36899999,3685,3689,Fixed Services,Fixed Services 固網服務 Class One 第一類服務 SmarTone Communications Limited
36900000,36999999,3690,3699,Fixed Services,Fixed Services 固網服務 Class One 第一類服務 HGC Global Communications Limited 環球全域電訊有限公司
37000000,37019999,3700,3701,Fixed Services,Fixed Services 固網服務 Class One 第一類服務 HKBN Enterprise Solutions HK Limited 香港寬頻企業方案香港有限公司
37020000,37059999,3702,3705,Fixed Services,Fixed Services 固網服務 Class One 第一類服務 Hong Kong Broadband Network Limited 香港寬頻網絡有限公司
37060000,37099999,3706,3709,Fixed Services,Fixed Services 固網服務 Class One 第一類服務 Hong Kong Broadband Network Limited 香港寬頻網絡有限公司
37100000,37199999,3710,3719,Fixed Services,Fixed Services 固網服務 Class One 第一類服務 PCCW-HKT Telephone Limited and Hong Kong Telecommunications (HKT) Limited
37200000,37249999,3720,3724,Fixed Services,Fixed Services 固網服務 Class One 第一類服務 HKBN Enterprise Solutions Limited 香港寬頻企業方案有限公司
37250000,37259999,3725,3725,Fixed Services,Fixed Services 固網服務 Class One 第一類服務 HKBN Enterprise Solutions HK Limited 香港寬頻企業方案香港有限公司
37260000,37269999,3726,3726,Fixed Services,Fixed Services 固網服務 Class One 第一類服務 HKBN Enterprise Solutions Limited 香港寬頻企業方案有限公司
37270000,37289999,3727,3728,Fixed Services,Fixed Services 固網服務 Class One 第一類服務 HKBN Enterprise Solutions HK Limited 香港寬頻企業方案香港有限公司
37290000,37299999,3729,3729,Fixed Services,Fixed Services 固網服務 Class One 第一類服務 Verizon Hong Kong Limited
37300000,37369999,3730,3736,Fixed Services,Fixed Services 固網服務 Class One 第一類服務 ** Spare 備用
37370000,37379999,3737,3737,Fixed Services,✓ Fixed Services 固網服務 Class One 第一類服務 ** Reserved 預留
37380000,37399999,3738,3739,Fixed Services,Fixed Services 固網服務 Class One 第一類服務 ** Spare 備用
37400000,37499999,3740,3749,Fixed Services,Fixed Services 固網服務 Class One 第一類服務 HGC Global Communications Limited 環球全域電訊有限公司
37500000,37599999,3750,3759,Fixed Services,Fixed Services 固網服務 Class One 第一類服務 HKBN Enterprise Solutions HK Limited 香港寬頻企業方案香港有限公司
37600000,37699999,3760,3769,Fixed Services,Fixed Services 固網服務 Class One 第一類服務 PCCW-HKT Telephone Limited and Hong Kong Telecommunications (HKT) Limited
37700000,37799999,3770,3779,Fixed Services,Fixed Services 固網服務 Class One 第一類服務 ** Spare 備用
37800000,37899999,3780,3789,Fixed Services,Fixed Services 固網服務 Class One 第一類服務 ** Spare 備用
37900000,37999999,3790,3799,Fixed Services,Fixed Services 固網服務 Class One 第一類服務 HKBN Enterprise Solutions HK Limited 香港寬頻企業方案香港有限公司
38000000,38299999,3800,3829,Fixed Services,Fixed Services 固網服務 Class One 第一類服務 ** Spare 備用
38300000,38379999,3830,3837,Fixed Services,Fixed Services 固網服務 Class One 第一類服務 ** Spare 備用
38380000,38389999,3838,3838,Fixed Services,✓ Fixed Services 固網服務 Class One 第一類服務 ** Reserved 預留
38390000,38399999,3839,3839,Fixed Services,Fixed Services 固網服務 Class One 第一類服務 ** Spare 備用
38400000,38409999,3840,3840,Fixed Services,Fixed Services 固網服務 Class One 第一類服務 HKBN Enterprise Solutions HK Limited 香港寬頻企業方案香港有限公司
38410000,38429999,3841,3842,Fixed Services,Fixed Services 固網服務 Class One 第一類服務 HKBN Enterprise Solutions HK Limited 香港寬頻企業方案香港有限公司
38430000,38439999,3843,3843,Fixed Services,Fixed Services 固網服務 Class One 第一類服務 HKBN Enterprise Solutions HK Limited 香港寬頻企業方案香港有限公司
38440000,38449999,3844,3844,Fixed Services,Fixed Services 固網服務 Class One 第一類服務 Hong Kong Broadband Network Limited 香港寬頻網絡有限公司
38450000,38459999,3845,3845,Fixed Services,Fixed Services 固網服務 Class One 第一類服務 HKBN Enterprise Solutions HK Limited 香港寬頻企業方案香港有限公司
38460000,38469999,3846,3846,Fixed Services,Fixed Services 固網服務 Class One 第一類服務 China Mobile Hong Kong Company Limited 中國移動香港有限公司
38470000,38489999,3847,3848,Fixed Services,Fixed Services 固網服務 Class One 第一類服務 Hong Kong Broadband Network Limited 香港寬頻網絡有限公司
38490000,38499999,3849,3849,Fixed Services,Fixed Services 固網服務 Class One 第一類服務 HKBN Enterprise Solutions HK Limited 香港寬頻企業方案香港有限公司
38500000,38519999,3850,3851,Fixed Services,Fixed Services 固網服務 Class One 第一類服務 Hong Kong Broadband Network Limited 香港寬頻網絡有限公司
38520000,38529999,3852,3852,Fixed Services,Fixed Services 固網服務 Class One 第一類服務 HGC Global Communications Limited 環球全域電訊有限公司
38530000,38539999,3853,3853,Fixed Services,Fixed Services 固網服務 Class One 第一類服務 HKBN Enterprise Solutions HK Limited 香港寬頻企業方案香港有限公司
38540000,38559999,3854,3855,Fixed Services,Fixed Services 固網服務 Class One 第一類服務 HGC Global Communications Limited 環球全域電訊有限公司
38560000,38569999,3856,3856,Fixed Services,Fixed Services 固網服務 Class One 第一類服務 Verizon Hong Kong Limited
38570000,38589999,3857,3858,Fixed Services,Fixed Services 固網服務 Class One 第一類服務 HKBN Enterprise Solutions HK Limited 香港寬頻企業方案香港有限公司
38590000,38599999,3859,3859,Fixed Services,Fixed Services 固網服務 Class One 第一類服務 Hong Kong Broadband Network Limited 香港寬頻網絡有限公司
39899999,39999999,3989,3999,Unknown,8
40400000,40409999,4040,4040,Unknown,✓ Mobile Service 流動服務 ** Reserved 預留
40410000,40499999,4041,4049,Unknown,Mobile Service 流動服務 ** Spare - open for application 備用/供申請使用
40600000,40699999,4060,4069,Unknown,Mobile Service 流動服務 ** Spare - open for application 備用/供申請使用
40930000,40969999,4093,4096,Unknown,Mobile Service 流動服務 China Mobile Hong Kong Company Limited 中國移動香港有限公司
40970000,40999999,4097,4099,Unknown,Mobile Service 流動服務 ** Spare - open for application 備用/供申請使用
42000000,42099999,4200,4209,Unknown,Mobile Service 流動服務 ** Spare - open for application 備用/供申請使用
42200000,42399999,4220,4239,Unknown,Mobile Service 流動服務 ** Spare - open for application 備用/供申請使用
42400000,42419999,4240,4241,Unknown,Mobile Service 流動服務 ** Spare - open for application 備用/供申請使用
42420000,42429999,4242,4242,Unknown,✓ Mobile Service 流動服務 ** Reserved 預留
42430000,42469999,4243,4246,Unknown,Mobile Service 流動服務 China Telecom Global Limited 中國電信國際有限公司
42470000,42499999,4247,4249,Unknown,Mobile Service 流動服務 ** Spare - open for application 備用/供申請使用
42500000,42999999,4250,4299,Unknown,Mobile Service 流動服務 ** Spare - open for application 備用/供申請使用
43300000,43399999,4330,4339,Unknown,Mobile Service 流動服務 ** Spare 備用
43400000,43429999,4340,4342,Unknown,Mobile Service 流動服務 ** Spare 備用
43430000,43439999,4343,4343,Unknown,✓ Mobile Service 流動服務 ** Reserved 預留
43440000,43499999,4344,4349,Unknown,Mobile Service 流動服務 ** Spare 備用
43500000,43999999,4350,4399,Unknown,Mobile Service 流動服務 ** Spare 備用
44000000,44099999,4400,4409,Unknown,Mobile Service 流動服務 China Mobile Hong Kong Company Limited 中國移動香港有限公司
44100000,44199999,4410,4419,Unknown,Mobile Service 流動服務 Hong Kong Telecommunications (HKT) Limited
44200000,44299999,4420,4429,Unknown,Mobile Service 流動服務 Hutchison Telephone Company Limited 和記電話有限公司
44300000,44399999,4430,4439,Unknown,Mobile Service 流動服務 Hong Kong Telecommunications (HKT) Limited
44400000,44409999,4440,4440,Unknown,Mobile Service 流動服務 Sun Mobile Limited 新移動通訊有限公司
44410000,44429999,4441,4442,Unknown,Mobile Service 流動服務 Hutchison Telephone Company Limited 和記電話有限公司
44430000,44439999,4443,4443,Unknown,Mobile Service 流動服務 China Telecom Global Limited 中國電信國際有限公司
44440000,44449999,4444,4444,Unknown,✓ Mobile Service 流動服務 ** Reserved 預留
44450000,44499999,4445,4449,Unknown,Mobile Service 流動服務 Hong Kong Telecommunications (HKT) Limited
44500000,44599999,4450,4459,Unknown,Mobile Service 流動服務 Hutchison Telephone Company Limited 和記電話有限公司
44600000,44699999,4460,4469,Unknown,Mobile Service 流動服務 Hutchison Telephone Company Limited 和記電話有限公司
44700000,44799999,4470,4479,Unknown,Mobile Service 流動服務 China Mobile Hong Kong Company Limited 中國移動香港有限公司
44800000,44899999,4480,4489,Unknown,Mobile Service 流動服務 Hutchison Telephone Company Limited 和記電話有限公司
44900000,44999999,4490,4499,Unknown,Mobile Service 流動服務 Hutchison Telephone Company Limited 和記電話有限公司
45100000,45399999,4510,4539,Unknown,Mobile Service 流動服務 ** Spare 備用
45400000,45449999,4540,4544,Unknown,Mobile Service 流動服務 ** Spare 備用
45450000,45459999,4545,4545,Unknown,✓ Mobile Service 流動服務 ** Reserved 預留
45460000,45499999,4546,4549,Unknown,Mobile Service 流動服務 ** Spare 備用
45500000,45599999,4550,4559,Unknown,Mobile Service 流動服務 ** Spare 備用
45600000,45669999,4560,4566,Unknown,Mobile Service 流動服務 ** Spare 備用
45670000,45679999,4567,4567,Unknown,✓ Mobile Service 流動服務 ** Reserved 預留
45680000,45699999,4568,4569,Unknown,Mobile Service 流動服務 ** Spare 備用
45700000,45999999,4570,4599,Unknown,Mobile Service 流動服務 ** Spare 備用
46000000,46069999,4600,4606,Unknown,Mobile Service 流動服務 China Unicom (Hong Kong) Operations Limited 中國聯通(香港)運營有限公司
46070000,46079999,4607,4607,Unknown,Mobile Service 流動服務 Multibyte Info Technology Limited 博元訊息科技有限公司
46080000,46089999,4608,4608,Unknown,Mobile Service 流動服務 Sun Mobile Limited 新移動通訊有限公司
46090000,46099999,4609,4609,Unknown,Mobile Service 流動服務 China Telecom Global Limited 中國電信國際有限公司
46100000,46109999,4610,4610,Unknown,Mobile Service 流動服務 Sun Mobile Limited 新移動通訊有限公司
46110000,46129999,4611,4612,Unknown,Mobile Service 流動服務 Sun Mobile Limited 新移動通訊有限公司
46130000,46139999,4613,4613,Unknown,Mobile Service 流動服務 China Telecom Global Limited 中國電信國際有限公司
46140000,46149999,4614,4614,Unknown,Mobile Service 流動服務 Sun Mobile Limited 新移動通訊有限公司
46150000,46169999,4615,4616,Unknown,Mobile Service 流動服務 China Unicom (Hong Kong) Operations Limited 中國聯通(香港)運營有限公司
46170000,46179999,4617,4617,Unknown,Mobile Service 流動服務 Multibyte Info Technology Limited 博元訊息科技有限公司
46180000,46189999,4618,4618,Unknown,Mobile Service 流動服務 Multibyte Info Technology Limited 博元訊息科技有限公司
46190000,46199999,4619,4619,Unknown,Mobile Service 流動服務 China Telecom Global Limited 中國電信國際有限公司
46200000,46249999,4620,4624,Unknown,Mobile Service 流動服務 China Mobile Hong Kong Company Limited 中國移動香港有限公司
